Date,Description,Amount,Type
2024-04-05,Salary Credit,85000,Credit
2024-04-10,Amazon Shopping,-2400,Debit
2024-04-15,LIC Premium Payment,-35000,Debit
2024-04-20,Groceries D-Mart,-4500,Debit
2024-05-01,Salary Credit,85000,Credit
2024-05-05,SBI Mutual Fund ELSS,-10000,Debit
2024-05-12,Apollo Munich Health Insurance,-15000,Debit
2024-05-25,Dining Out,-3000,Debit
2024-06-01,Salary Credit,85000,Credit
2024-06-08,HDFC Home Loan EMI,-30000,Debit
2024-06-15,Electricity Bill,-1800,Debit
2024-06-28,PPF Subscription,-20000,Debit
